date,time,temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precip.,condition
2021-07-15,2:30 PM,90,75,62,WSW,7,0,29.67,0.0,Light Rain with Thunder
2021-07-16,11:30 AM,90,77,66,NW,9,0,29.79,0.0,Mostly Cloudy
2021-08-21,1:00 AM,79,77,94,VAR,1,0,29.82,0.0,Mostly Cloudy
2021-08-16,2:30 AM,79,77,94,VAR,1,0,29.82,0.0,Partly Cloudy
2021-08-21,5:00 AM,77,75,94,NE,3,0,29.79,0.0,Fog
2021-09-01,7:00 AM,82,77,84,VAR,2,0,29.76,0.0,Fair
2021-07-04,2:30 PM,86,82,89,VAR,2,0,29.61,0.0,Partly Cloudy
2021-08-12,11:30 PM,82,77,84,VAR,2,0,29.82,0.0,Partly Cloudy
2021-08-29,1:00 AM,75,75,100,W,1,0,29.73,0.0,Mostly Cloudy
2021-08-28,11:00 AM,86,77,74,VAR,1,0,29.73,0.0,Partly Cloudy
2021-09-04,1:00 PM,88,75,66,W,13,0,29.7,0.0,Showers in the Vicinity
2021-08-16,3:00 PM,95,72,47,VAR,3,0,29.76,0.0,Partly Cloudy
2021-07-15,7:30 AM,81,79,94,CALM,0,0,29.73,0.0,Mostly Cloudy
2021-09-01,9:00 PM,79,75,89,WNW,5,0,29.79,0.0,Mostly Cloudy
2021-07-25,3:00 PM,90,77,66,W,15,0,29.67,0.0,Partly Cloudy
2021-08-29,11:30 AM,86,77,74,N,7,0,29.73,0.0,Partly Cloudy
2021-09-04,1:00 AM,77,77,100,VAR,3,0,29.79,0.0,Light Rain
2021-07-04,9:00 AM,88,82,84,WSW,8,0,29.73,0.0,Partly Cloudy
2021-08-19,3:00 PM,95,72,47,VAR,3,0,29.67,0.0,Partly Cloudy
2021-08-15,3:30 PM,88,75,66,WNW,6,0,29.73,0.0,Partly Cloudy
2021-07-17,11:30 PM,82,79,89,WSW,9,0,29.73,0.0,Thunder in the Vicinity
2021-07-07,6:30 AM,79,79,100,SW,3,0,29.7,0.0,Partly Cloudy
2021-08-04,2:00 PM,91,77,63,W,16,0,29.7,0.0,Partly Cloudy
2021-07-10,8:30 AM,84,75,74,VAR,2,0,29.73,0.0,Partly Cloudy
2021-08-19,9:00 AM,84,77,79,CALM,0,0,29.79,0.0,Fair
2021-08-10,6:00 AM,82,79,89,S,7,0,29.7,0.0,Mostly Cloudy
2021-07-06,5:00 PM,82,77,84,WSW,14,0,29.64,0.0,Mostly Cloudy
2021-07-06,11:00 PM,79,77,94,VAR,2,0,29.7,0.0,Mostly Cloudy
2021-07-05,6:30 PM,79,77,94,W,7,0,29.67,0.0,Light Rain
2021-07-08,4:30 AM,77,77,100,SSW,5,0,29.7,0.0,Partly Cloudy
2021-07-19,11:30 PM,77,72,83,VAR,2,0,29.79,0.0,Partly Cloudy
2021-07-16,1:30 PM,91,73,55,NW,7,0,29.73,0.0,Partly Cloudy
2021-07-12,1:30 PM,95,73,49,SE,5,0,29.7,0.0,Mostly Cloudy
2021-08-08,8:30 PM,84,79,84,WSW,14,0,29.76,0.0,Partly Cloudy
2021-08-08,8:30 AM,86,79,79,WSW,6,0,29.79,0.0,Fair
2021-08-08,5:30 PM,90,79,70,W,12,0,29.67,0.0,Partly Cloudy
2021-07-26,6:30 AM,79,75,89,WSW,9,0,29.73,0.0,Partly Cloudy
2021-08-10,8:00 AM,84,79,84,SW,9,0,29.7,0.0,Mostly Cloudy
2021-08-09,6:00 AM,81,79,94,SW,8,0,29.73,0.0,Partly Cloudy
2021-07-12,1:00 PM,93,73,52,SSE,7,0,29.73,0.0,Mostly Cloudy
2021-07-14,7:00 AM,77,77,100,VAR,1,0,29.7,0.0,Mostly Cloudy
2021-07-19,7:00 AM,77,75,94,VAR,2,0,29.7,0.0,Mostly Cloudy
2021-08-13,1:30 PM,90,75,62,SW,7,0,29.7,0.0,Light Rain Shower
2021-07-14,5:00 AM,77,77,100,ENE,6,0,29.73,0.0,Partly Cloudy
2021-07-25,12:00 PM,86,79,79,WSW,14,0,29.73,0.0,Mostly Cloudy
2021-07-25,5:00 AM,77,75,94,WSW,3,0,29.73,0.0,Mostly Cloudy
2021-08-11,11:30 PM,79,75,89,SW,5,0,29.85,0.0,Partly Cloudy
2021-08-24,1:00 PM,88,77,70,ESE,8,0,29.64,0.0,Light Rain Shower
2021-08-07,10:00 AM,90,79,70,WNW,12,0,29.79,0.0,Partly Cloudy
2021-07-26,10:00 AM,88,77,70,WSW,12,0,29.73,0.0,Partly Cloudy
2021-08-13,8:00 AM,82,79,89,VAR,3,0,29.79,0.0,Mostly Cloudy
2021-08-06,5:30 AM,81,79,94,SW,10,0,29.76,0.0,Partly Cloudy
2021-07-08,1:30 PM,82,81,94,E,5,0,29.7,0.0,Light Rain Shower
2021-07-14,3:00 AM,77,77,100,VAR,3,0,29.7,0.0,Partly Cloudy
2021-07-13,4:00 AM,81,77,89,NW,3,0,29.7,0.0,Partly Cloudy
2021-07-06,2:00 AM,79,77,94,CALM,0,0,29.64,0.0,Partly Cloudy
2021-07-10,4:00 PM,91,75,59,SE,9,0,29.64,0.0,Partly Cloudy
2021-07-03,7:30 PM,84,75,74,VAR,3,0,29.67,0.0,Partly Cloudy
2021-08-02,3:30 PM,86,77,74,W,18,0,29.67,0.0,Partly Cloudy
2021-07-19,12:00 PM,90,73,59,W,15,0,29.7,0.0,Partly Cloudy
2021-07-24,2:00 AM,81,79,94,WSW,8,0,29.67,0.0,Mostly Cloudy
2021-07-22,8:00 PM,82,79,89,WSW,8,0,29.7,0.0,Mostly Cloudy
2021-08-17,11:00 PM,73,73,100,WSW,3,0,29.85,0.0,Light Rain
2021-08-03,9:30 PM,82,79,89,WSW,14,0,29.76,0.0,Partly Cloudy
2021-08-03,12:00 AM,81,77,89,WSW,12,0,29.73,0.0,Partly Cloudy
2021-07-02,8:30 PM,88,81,79,S,7,0,29.73,0.0,Fair
2021-07-08,8:00 PM,81,77,89,SW,9,0,29.7,0.0,Partly Cloudy
2021-08-16,11:30 AM,91,75,59,NNW,7,0,29.85,0.0,Partly Cloudy
2021-07-09,2:00 PM,86,73,66,WSW,10,0,29.67,0.0,Partly Cloudy
2021-08-27,3:00 PM,91,75,59,W,8,0,29.64,0.0,Partly Cloudy
2021-07-20,11:00 PM,81,77,89,WSW,7,0,29.79,0.0,Partly Cloudy
2021-07-08,8:00 AM,81,77,89,W,6,0,29.76,0.0,Mostly Cloudy
2021-07-10,2:30 PM,91,73,55,SSE,7,0,29.64,0.0,Mostly Cloudy
2021-08-22,4:30 AM,79,77,94,W,2,0,29.76,0.0,Partly Cloudy
2021-08-16,1:00 AM,79,77,94,NNW,2,0,29.85,0.0,Partly Cloudy
2021-08-03,10:00 AM,88,79,75,W,16,0,29.76,0.0,Mostly Cloudy
2021-08-10,9:00 PM,81,77,89,S,5,0,29.73,0.0,Mostly Cloudy
2021-08-17,11:00 AM,90,75,62,VAR,2,0,29.82,0.0,Partly Cloudy
2021-07-07,8:00 AM,82,79,89,SW,5,0,29.7,0.0,Partly Cloudy
2021-08-02,12:30 AM,79,79,100,W,6,0,29.7,0.0,Partly Cloudy
2021-08-23,12:30 AM,79,79,100,E,3,0,29.76,0.0,Mostly Cloudy
2021-07-18,3:00 AM,81,79,94,WSW,9,0,29.67,0.0,Partly Cloudy
2021-07-03,3:00 AM,82,81,94,WSW,6,0,29.73,0.0,Fair
2021-08-14,9:00 AM,84,79,84,WSW,6,0,29.76,0.0,Mostly Cloudy
2021-09-03,11:30 AM,86,77,74,W,9,0,29.73,0.0,Mostly Cloudy
2021-08-13,10:00 PM,81,75,84,VAR,2,0,29.79,0.0,Mostly Cloudy
2021-08-17,3:30 AM,77,75,94,W,2,0,29.82,0.0,Partly Cloudy
2021-08-25,7:00 AM,79,79,100,VAR,3,0,29.73,0.0,Partly Cloudy
2021-08-02,3:30 AM,81,79,94,SW,10,0,29.67,0.0,Partly Cloudy
2021-07-16,1:00 AM,77,75,94,CALM,0,0,29.79,0.0,Partly Cloudy
2021-08-16,9:30 PM,79,73,83,VAR,1,0,29.88,0.0,Partly Cloudy
2021-09-01,11:00 PM,79,75,89,NW,1,0,29.79,0.0,Mostly Cloudy
2021-08-14,7:30 PM,86,75,70,W,6,0,29.7,0.0,Partly Cloudy
2021-08-09,11:00 PM,82,75,79,WNW,3,0,29.73,0.0,Partly Cloudy
2021-08-25,12:30 PM,90,77,66,WSW,12,0,29.67,0.0,Mostly Cloudy
2021-08-12,1:30 AM,81,77,89,SSE,3,0,29.82,0.0,Partly Cloudy
2021-07-26,12:30 AM,79,77,94,WSW,10,0,29.76,0.0,Mostly Cloudy
2021-07-11,11:30 PM,82,77,84,VAR,2,0,29.79,0.0,Partly Cloudy
2021-07-23,8:30 PM,81,79,94,WSW,8,0,29.7,0.0,Mostly Cloudy
2021-07-09,7:00 PM,82,75,79,S,6,0,29.67,0.0,Partly Cloudy
2021-07-15,4:30 AM,79,77,94,NNW,1,0,29.7,0.0,Light Rain
2021-09-03,9:00 PM,77,77,100,W,5,0,29.76,0.0,Light Rain
2021-07-16,8:30 AM,82,79,89,W,7,0,29.82,0.0,Partly Cloudy
2021-07-16,12:30 AM,77,75,94,VAR,1,0,29.79,0.0,Mostly Cloudy
2021-08-17,10:00 PM,73,73,100,VAR,3,0,29.85,0.0,Light Rain with Thunder
2021-08-20,10:30 AM,90,77,66,VAR,2,0,29.79,0.0,Mostly Cloudy
2021-07-18,3:00 PM,90,72,55,W,16,0,29.61,0.0,Partly Cloudy / Windy
2021-08-15,8:30 PM,82,77,84,WNW,2,0,29.82,0.0,Fair
2021-08-20,4:30 PM,82,73,74,N,2,0,29.7,0.0,T-Storm
2021-08-21,4:00 AM,77,75,94,ENE,3,0,29.76,0.0,Fog
2021-08-22,3:00 PM,93,75,56,WSW,8,0,29.64,0.0,Mostly Cloudy
2021-07-21,11:30 AM,81,77,89,WSW,15,0,29.76,0.0,Mostly Cloudy
2021-08-04,7:00 AM,81,77,89,WSW,10,0,29.79,0.0,Mostly Cloudy
2021-08-22,10:00 AM,88,79,75,WSW,6,0,29.79,0.0,Partly Cloudy
2021-07-24,5:00 PM,88,79,75,W,17,0,29.64,0.0,Partly Cloudy
2021-08-20,9:00 AM,86,79,79,NW,1,0,29.79,0.0,Partly Cloudy
2021-08-01,2:30 AM,81,77,89,WSW,9,0,29.7,0.0,Mostly Cloudy
2021-07-31,7:00 AM,81,79,94,SW,8,0,29.76,0.0,Partly Cloudy
2021-07-30,5:30 PM,86,77,74,WSW,17,0,29.67,0.0,Partly Cloudy
2021-07-25,10:00 PM,79,77,94,WSW,6,0,29.76,0.0,Mostly Cloudy
2021-09-03,8:00 PM,79,77,94,NW,3,0,29.73,0.0,Light Rain
2021-08-25,6:00 PM,81,75,84,WSW,7,0,29.7,0.0,Light Rain
2021-08-17,12:30 AM,77,77,100,VAR,1,0,29.85,0.0,Partly Cloudy
2021-07-04,4:30 AM,82,81,94,SW,7,0,29.67,0.0,Partly Cloudy
2021-08-22,4:00 PM,91,75,59,W,10,0,29.64,0.0,Partly Cloudy
2021-08-09,4:00 AM,82,79,89,SW,9,0,29.73,0.0,Partly Cloudy
2021-08-03,4:00 PM,90,77,66,WSW,22,0,29.67,0.0,Partly Cloudy
2021-08-06,6:00 PM,88,77,70,WSW,12,0,29.7,0.0,Partly Cloudy
2021-07-08,3:00 PM,86,77,74,W,12,0,29.67,0.0,Partly Cloudy
2021-07-11,11:00 AM,90,75,62,VAR,2,0,29.79,0.0,Mostly Cloudy
2021-07-13,3:00 AM,79,77,94,NW,3,0,29.7,0.0,Partly Cloudy
2021-08-22,8:30 AM,86,79,79,WSW,7,0,29.76,0.0,Partly Cloudy
2021-07-31,10:30 PM,82,79,89,WSW,12,0,29.76,0.0,Partly Cloudy
2021-07-03,4:30 PM,93,75,56,WNW,6,0,29.61,0.0,Thunder
2021-07-04,11:00 AM,86,77,74,WSW,9,22,29.7,0.0,Light Rain with Thunder
2021-08-12,7:00 PM,84,75,74,S,3,0,29.76,0.0,Partly Cloudy
2021-08-16,7:30 PM,75,75,100,WNW,7,0,29.85,0.0,Light Rain
2021-08-01,10:30 PM,81,79,94,W,8,0,29.7,0.0,Partly Cloudy
2021-09-04,6:00 AM,77,77,100,CALM,0,0,29.76,0.0,Partly Cloudy
2021-07-23,9:00 PM,81,79,94,WSW,7,0,29.7,0.0,Mostly Cloudy
2021-07-30,12:30 PM,90,77,66,W,13,0,29.7,0.0,Mostly Cloudy
2021-07-08,7:00 AM,79,77,94,SW,5,0,29.73,0.0,Mostly Cloudy
2021-07-16,9:30 AM,86,77,74,W,8,0,29.82,0.0,Partly Cloudy
2021-08-14,4:30 PM,90,75,62,WSW,10,0,29.64,0.0,Partly Cloudy
2021-08-12,4:30 PM,86,75,70,WSW,8,0,29.76,0.0,Partly Cloudy
2021-08-02,2:00 AM,81,79,94,SW,12,0,29.67,0.0,Partly Cloudy
2021-07-21,2:00 PM,86,77,74,W,20,0,29.7,0.0,Mostly Cloudy
2021-07-23,1:00 AM,81,79,94,WSW,9,0,29.73,0.0,Partly Cloudy
2021-08-09,9:30 AM,88,79,75,WSW,10,0,29.76,0.0,Mostly Cloudy
2021-08-23,1:30 AM,79,79,100,E,3,0,29.73,0.0,Mostly Cloudy
2021-08-10,1:00 AM,82,79,89,WSW,5,0,29.7,0.0,Partly Cloudy
2021-09-02,1:30 AM,77,75,94,VAR,2,0,29.76,0.0,Mostly Cloudy
2021-08-12,7:30 AM,82,79,89,CALM,0,0,29.85,0.0,Partly Cloudy
2021-07-12,4:30 AM,81,79,94,SE,5,0,29.73,0.0,Partly Cloudy
2021-07-12,7:30 AM,82,79,89,E,5,0,29.79,0.0,Mostly Cloudy
2021-07-09,1:00 AM,79,77,94,WSW,5,0,29.7,0.0,Partly Cloudy
2021-07-21,1:00 PM,88,73,62,W,17,0,29.7,0.0,Partly Cloudy
2021-08-15,11:30 PM,81,77,89,NW,2,0,29.85,0.0,Partly Cloudy
2021-07-05,8:00 AM,84,82,94,VAR,2,0,29.7,0.0,Partly Cloudy
2021-08-23,8:00 PM,79,77,94,E,3,0,29.73,0.0,Mostly Cloudy
2021-08-10,7:00 PM,81,77,89,SW,7,0,29.67,0.0,Mostly Cloudy
2021-08-21,10:30 PM,81,77,89,SSW,5,0,29.82,0.0,Partly Cloudy
2021-09-04,8:30 PM,81,75,84,WSW,7,0,29.76,0.0,Mostly Cloudy
2021-07-24,1:30 PM,90,77,66,W,17,0,29.67,0.0,Partly Cloudy
2021-09-02,6:30 AM,79,77,94,VAR,1,0,29.73,0.0,Partly Cloudy
2021-09-01,8:30 PM,79,75,89,WNW,3,0,29.76,0.0,Mostly Cloudy
2021-08-07,3:30 AM,81,79,94,WSW,9,0,29.73,0.0,Partly Cloudy
2021-08-20,9:00 PM,79,77,94,E,3,0,29.82,0.0,Mostly Cloudy
2021-08-18,10:30 AM,88,75,66,VAR,3,0,29.79,0.0,Fair
2021-07-25,6:00 PM,84,77,79,W,10,0,29.67,0.0,T-Storm
2021-08-23,7:30 AM,84,81,89,CALM,0,0,29.76,0.0,Partly Cloudy
2021-08-19,10:00 PM,79,73,83,ESE,6,0,29.79,0.0,Mostly Cloudy
2021-08-23,1:00 AM,79,79,100,ENE,6,0,29.73,0.0,Mostly Cloudy
2021-07-13,7:00 PM,86,75,70,SSE,6,0,29.7,0.0,Partly Cloudy
2021-09-02,12:00 AM,77,75,94,VAR,2,0,29.79,0.0,Mostly Cloudy
2021-08-11,4:30 AM,81,79,94,SW,5,0,29.73,0.0,Partly Cloudy
2021-08-07,6:00 PM,88,77,70,W,10,0,29.7,0.0,Partly Cloudy
2021-08-21,6:00 AM,77,75,94,VAR,1,0,29.79,0.0,Fog
2021-07-23,11:00 AM,82,75,79,SW,23,36,29.73,0.0,Light Rain Shower
2021-07-21,1:00 AM,79,79,100,WSW,6,0,29.73,0.0,Partly Cloudy
2021-08-07,11:00 PM,82,79,89,VAR,2,0,29.79,0.0,Partly Cloudy
2021-08-03,6:30 AM,81,77,89,WSW,13,0,29.73,0.0,Partly Cloudy
2021-07-15,1:00 PM,90,75,62,VAR,6,0,29.7,0.0,Light Rain Shower
2021-08-01,5:30 AM,79,79,100,WSW,8,0,29.7,0.0,Partly Cloudy
2021-07-19,7:30 AM,77,73,89,VAR,2,0,29.73,0.0,Mostly Cloudy
2021-08-31,2:30 PM,82,79,89,NW,6,0,29.7,0.0,Partly Cloudy
2021-07-08,5:30 PM,82,77,84,SW,9,0,29.67,0.0,Partly Cloudy
2021-08-24,7:30 AM,81,79,94,VAR,3,0,29.73,0.0,Mostly Cloudy
2021-07-04,12:00 AM,84,77,79,VAR,3,0,29.7,0.0,Partly Cloudy
2021-08-05,10:00 PM,82,79,89,WSW,12,0,29.79,0.0,Partly Cloudy
2021-07-18,11:30 AM,90,77,66,W,16,0,29.67,0.0,Mostly Cloudy
2021-08-26,11:30 PM,77,77,100,E,2,0,29.76,0.0,Mostly Cloudy
2021-08-05,7:00 AM,82,81,94,WSW,12,0,29.76,0.0,Partly Cloudy
2021-08-29,9:30 PM,79,77,94,VAR,2,0,29.76,0.0,Light Rain
2021-09-01,3:00 PM,91,77,63,SSE,6,0,29.64,0.0,Partly Cloudy
2021-07-31,9:30 PM,84,79,84,WSW,10,0,29.76,0.0,Partly Cloudy
2021-07-10,7:30 PM,84,77,79,S,7,0,29.7,0.0,Partly Cloudy
2021-08-29,3:30 AM,75,75,100,VAR,2,0,29.7,0.0,Partly Cloudy
2021-07-17,4:00 PM,91,75,59,WNW,10,0,29.64,0.0,Partly Cloudy
2021-08-03,3:30 AM,81,79,94,WSW,9,0,29.7,0.0,Partly Cloudy
2021-07-31,4:30 AM,81,77,89,SW,7,0,29.73,0.0,Partly Cloudy
2021-07-12,10:00 PM,81,77,89,NNW,7,0,29.79,0.0,Partly Cloudy
2021-08-31,10:00 PM,79,77,94,VAR,1,0,29.82,0.0,Mostly Cloudy
2021-08-03,9:30 AM,88,79,75,W,17,0,29.76,0.0,Mostly Cloudy
2021-07-14,1:30 AM,79,77,94,W,5,0,29.73,0.0,Partly Cloudy
2021-08-06,10:00 PM,82,77,84,WSW,14,0,29.79,0.0,Partly Cloudy
2021-07-22,5:00 AM,79,77,94,SW,6,0,29.7,0.0,Partly Cloudy
2021-08-25,9:30 AM,82,79,89,SW,9,0,29.76,0.0,Mostly Cloudy
2021-08-30,12:30 PM,91,75,59,VAR,2,0,29.7,0.0,Mostly Cloudy
2021-08-31,9:30 PM,79,77,94,VAR,3,0,29.79,0.0,Mostly Cloudy
2021-08-19,11:00 PM,79,75,89,E,5,0,29.79,0.0,Mostly Cloudy
2021-08-20,1:30 PM,91,75,59,WNW,5,0,29.7,0.0,Light Rain with Thunder
2021-07-03,1:30 PM,97,75,50,NW,7,0,29.67,0.0,Partly Cloudy
2021-08-05,11:30 AM,90,79,70,W,17,0,29.73,0.0,Light Rain Shower
2021-07-03,11:30 PM,84,79,84,SSE,7,0,29.7,0.0,Partly Cloudy
2021-07-28,1:30 AM,79,75,89,WSW,9,0,29.67,0.0,Partly Cloudy
2021-07-08,9:30 PM,81,77,89,SW,9,0,29.73,0.0,Partly Cloudy
2021-07-05,2:30 AM,82,81,94,CALM,0,0,29.64,0.0,Partly Cloudy
2021-07-24,1:00 AM,81,81,100,WSW,9,0,29.7,0.0,Mostly Cloudy
2021-07-26,5:30 PM,88,77,70,WSW,16,0,29.64,0.0,Partly Cloudy
2021-09-01,7:30 AM,82,77,84,VAR,1,0,29.76,0.0,Fair
2021-08-23,10:30 PM,79,77,94,E,2,0,29.76,0.0,Mostly Cloudy
2021-07-31,10:00 PM,82,79,89,WSW,12,0,29.76,0.0,Partly Cloudy
2021-07-26,4:30 PM,88,77,70,WSW,16,0,29.61,0.0,Partly Cloudy
2021-07-28,9:30 PM,79,77,94,W,6,0,29.7,0.0,Partly Cloudy
2021-07-21,4:00 PM,84,73,70,W,17,0,29.67,0.0,Mostly Cloudy
2021-09-04,4:00 AM,77,77,100,CALM,0,0,29.76,0.0,Mostly Cloudy
2021-08-10,5:00 AM,82,79,89,SW,7,0,29.7,0.0,Partly Cloudy
2021-08-29,2:30 PM,90,77,66,NNE,6,0,29.64,0.0,Partly Cloudy
2021-07-23,10:00 AM,86,79,79,WSW,14,0,29.73,0.0,Partly Cloudy
2021-08-10,4:30 AM,82,79,89,SW,7,0,29.7,0.0,Partly Cloudy
2021-08-27,4:30 AM,77,77,100,CALM,0,0,29.7,0.0,Partly Cloudy
2021-07-18,4:30 PM,82,73,74,W,20,0,29.64,0.0,Light Rain Shower
2021-07-29,9:00 AM,86,81,84,W,9,0,29.73,0.0,Partly Cloudy
2021-08-14,1:30 PM,91,77,63,SW,13,0,29.7,0.0,Partly Cloudy
2021-07-05,2:00 AM,82,81,94,VAR,3,0,29.64,0.0,Partly Cloudy
2021-07-09,3:00 PM,86,75,70,W,9,0,29.64,0.0,Partly Cloudy
2021-07-21,6:00 PM,82,73,74,WSW,10,0,29.7,0.0,Mostly Cloudy
2021-08-06,9:00 PM,84,77,79,WSW,12,0,29.76,0.0,Fair
2021-07-13,1:30 PM,91,72,52,E,5,0,29.67,0.0,Partly Cloudy
2021-08-22,11:00 AM,90,77,66,SW,9,0,29.76,0.0,Mostly Cloudy
2021-07-01,1:00 PM,95,72,47,W,10,0,29.7,0.0,Mostly Cloudy
2021-08-29,1:30 AM,75,75,100,CALM,0,0,29.73,0.0,Partly Cloudy
2021-08-06,2:30 AM,81,79,94,SW,8,0,29.76,0.0,Partly Cloudy
2021-07-14,9:00 AM,81,79,94,NNE,5,0,29.7,0.0,Mostly Cloudy
2021-08-10,2:30 PM,93,75,56,SSW,6,0,29.61,0.0,Light Rain Shower
2021-08-29,12:00 AM,75,75,100,CALM,0,0,29.76,0.0,Mostly Cloudy
2021-07-24,2:30 AM,81,79,94,WSW,8,0,29.7,0.0,Mostly Cloudy
2021-07-07,2:30 PM,91,75,59,W,12,24,29.64,0.0,Partly Cloudy
2021-08-02,4:30 AM,81,79,94,SW,10,0,29.7,0.0,Partly Cloudy
2021-07-17,8:30 PM,82,75,79,W,14,0,29.7,0.0,Partly Cloudy
2021-08-07,7:30 AM,82,79,89,WSW,10,0,29.79,0.0,Partly Cloudy
2021-07-01,11:30 AM,91,75,59,W,10,0,29.73,0.0,Mostly Cloudy
2021-08-17,12:00 AM,79,77,94,VAR,2,0,29.88,0.0,Partly Cloudy
2021-07-26,9:00 AM,84,75,74,W,12,0,29.73,0.0,Fair
2021-08-30,8:00 AM,82,77,84,VAR,2,0,29.76,0.0,Partly Cloudy
2021-07-27,6:00 AM,79,79,100,SW,9,0,29.7,0.0,Fair
2021-07-14,2:30 PM,86,77,74,WSW,8,0,29.61,0.0,Partly Cloudy
2021-07-25,1:00 AM,81,79,94,SW,10,0,29.7,0.0,Partly Cloudy
2021-08-08,7:30 AM,82,79,89,WSW,7,0,29.79,0.0,Fair
2021-07-11,9:00 PM,84,77,79,SSE,5,0,29.79,0.0,Partly Cloudy
2021-07-10,2:30 AM,81,77,89,S,7,0,29.7,0.0,Partly Cloudy
2021-08-08,9:30 AM,88,79,75,W,6,0,29.79,0.0,Fair
2021-08-30,4:30 AM,77,77,100,WNW,2,0,29.73,0.0,Light Rain Shower
2021-07-31,11:00 AM,90,79,70,W,14,0,29.73,0.0,Mostly Cloudy
2021-07-22,4:00 PM,88,79,75,WSW,13,0,29.64,0.0,Partly Cloudy
2021-08-30,2:30 AM,77,77,100,VAR,3,0,29.73,0.0,Mostly Cloudy
2021-08-19,1:30 PM,91,75,59,WNW,6,0,29.7,0.0,Partly Cloudy
2021-07-28,5:00 PM,84,79,84,W,18,0,29.61,0.0,Mostly Cloudy
2021-07-22,11:00 PM,81,79,94,WSW,9,0,29.73,0.0,Partly Cloudy
2021-07-21,9:00 PM,81,75,84,SW,10,0,29.76,0.0,Mostly Cloudy
2021-08-12,7:30 PM,82,77,84,SSE,3,0,29.79,0.0,Partly Cloudy
2021-07-22,2:30 AM,79,77,94,WSW,7,0,29.73,0.0,Partly Cloudy
2021-07-08,4:00 PM,82,77,84,VAR,3,0,29.64,0.0,Partly Cloudy
